Values	Resistance	GPN	Tol. (%)	Power	Voltage
0	Ω	GPR04020R		100mW	
1	Ω	GPR04021R	1	62.5mW	50V
1.1	Ω	GPR04021R1	1	62.5mW	50V
1.2	Ω	GPR04021R2	1	62.5mW	50V
1.3	Ω	GPR04021R3	1	62.5mW	50V
1.5	Ω	GPR04021R5	1	62.5mW	50V
1.6	Ω	GPR04021R6	1	62.5mW	50V
1.8	Ω	GPR04021R8	1	62.5mW	50V
2	Ω	GPR04022R	1	62.5mW	50V
2.2	Ω	GPR04022R2	1	62.5mW	50V
2.4	Ω	GPR04022R4	1	62.5mW	50V
2.7	Ω	GPR04022R7	1	62.5mW	50V
3	Ω	GPR04023R	1	62.5mW	50V
3.3	Ω	GPR04023R3	1	62.5mW	50V
3.6	Ω	GPR04023R6	1	62.5mW	50V
3.9	Ω	GPR04023R9	1	62.5mW	50V
4.3	Ω	GPR04024R3	1	62.5mW	50V
4.7	Ω	GPR04024R7	1	62.5mW	50V
5.1	Ω	GPR04025R1	1	62.5mW	50V
5.6	Ω	GPR04025R6	1	62.5mW	50V
6.2	Ω	GPR04026R2	1	62.5mW	50V
6.8	Ω	GPR04026R8	1	62.5mW	50V
7.5	Ω	GPR04027R5	1	62.5mW	50V
8.2	Ω	GPR04028R2	1	62.5mW	50V
9.1	Ω	GPR04029R1	1	62.5mW	50V
10	Ω	GPR040210R	1	62.5mW	50V
11	Ω	GPR040211R	1	62.5mW	50V
12	Ω	GPR040212R	1	62.5mW	50V
13	Ω	GPR040213R	1	62.5mW	50V
15	Ω	GPR040215R	1	62.5mW	50V
16	Ω	GPR040216R	1	62.5mW	50V
18	Ω	GPR040218R	1	62.5mW	50V
20	Ω	GPR040220R	1	62.5mW	50V
22	Ω	GPR040222R	1	62.5mW	50V
24	Ω	GPR040224R	1	62.5mW	50V
27	Ω	GPR040227R	1	62.5mW	50V
30	Ω	GPR040230R	1	62.5mW	50V
33	Ω	GPR040233R	1	62.5mW	50V
33	Ω	GPR040233R	1	62.5mW	50V
36	Ω	GPR040236R	1	62.5mW	50V
39	Ω	GPR040239R	1	62.5mW	50V
43	Ω	GPR040243R	1	62.5mW	50V
47	Ω	GPR040247R	1	62.5mW	50V
51	Ω	GPR040251R	1	62.5mW	50V
56	Ω	GPR040256R	1	62.5mW	50V
62	Ω	GPR040262R	1	62.5mW	50V
68	Ω	GPR040268R	1	62.5mW	50V
75	Ω	GPR040275R	1	62.5mW	50V
82	Ω	GPR040282R	1	62.5mW	50V
91	Ω	GPR040291R	1	62.5mW	50V
100	Ω	GPR0402100R	1	62.5mW	50V
110	Ω	GPR0402110R	1	62.5mW	50V
120	Ω	GPR0402120R	1	62.5mW	50V
130	Ω	GPR0402130R	1	62.5mW	50V
150	Ω	GPR0402150R	1	62.5mW	50V
160	Ω	GPR0402160R	1	62.5mW	50V
180	Ω	GPR0402180R	1	62.5mW	50V
200	Ω	GPR0402200R	1	62.5mW	50V
220	Ω	GPR0402220R	1	62.5mW	50V
240	Ω	GPR0402240R	1	62.5mW	50V
270	Ω	GPR0402270R	1	62.5mW	50V
300	Ω	GPR0402300R	1	62.5mW	50V
330	Ω	GPR0402330R	1	62.5mW	50V
360	Ω	GPR0402360R	1	62.5mW	50V
390	Ω	GPR0402390R	1	62.5mW	50V
430	Ω	GPR0402430R	1	62.5mW	50V
470	Ω	GPR0402470R	1	62.5mW	50V
510	Ω	GPR0402510R	1	62.5mW	50V
560	Ω	GPR0402560R	1	62.5mW	50V
620	Ω	GPR0402620R	1	62.5mW	50V
680	Ω	GPR0402680R	1	62.5mW	50V
750	Ω	GPR0402750R	1	62.5mW	50V
820	Ω	GPR0402820R	1	62.5mW	50V
910	Ω	GPR0402910R	1	62.5mW	50V
1	kΩ	GPR04021K	1	62.5mW	50V
1	kΩ	GPR04021K	1	62.5mW	50V
1.1	kΩ	GPR04021K1	1	62.5mW	50V
1.2	kΩ	GPR04021K2	1	62.5mW	50V
1.3	kΩ	GPR04021K3	1	62.5mW	50V
1.5	kΩ	GPR04021K5	1	62.5mW	50V
1.6	kΩ	GPR04021K6	1	62.5mW	50V
1.8	kΩ	GPR04021K8	1	62.5mW	50V
2	kΩ	GPR04022K	1	62.5mW	50V
2.2	kΩ	GPR04022K2	1	62.5mW	50V
2.4	kΩ	GPR04022K4	1	62.5mW	50V
2.7	kΩ	GPR04022K7	1	62.5mW	50V
3	kΩ	GPR04023K	1	62.5mW	50V
3.3	kΩ	GPR04023K3	1	62.5mW	50V
3.6	kΩ	GPR04023K6	1	62.5mW	50V
3.9	kΩ	GPR04023K9	1	62.5mW	50V
4.3	kΩ	GPR04024K3	1	62.5mW	50V
4.7	kΩ	GPR04024K7	1	62.5mW	50V
5.1	kΩ	GPR04025K1	1	62.5mW	50V
5.6	kΩ	GPR04025K6	1	62.5mW	50V
6.2	kΩ	GPR04026K2	1	62.5mW	50V
6.8	kΩ	GPR04026K8	1	62.5mW	50V
7.5	kΩ	GPR04027K5	1	62.5mW	50V
8.2	kΩ	GPR04028K2	1	62.5mW	50V
9.1	kΩ	GPR04029K1	1	62.5mW	50V
10	kΩ	GPR040210K	1	62.5mW	50V
11	kΩ	GPR040211K	1	62.5mW	50V
12	kΩ	GPR040212K	1	62.5mW	50V
13	kΩ	GPR040213K	1	62.5mW	50V
15	kΩ	GPR040215K	1	62.5mW	50V
16	kΩ	GPR040216K	1	62.5mW	50V
18	kΩ	GPR040218K	1	62.5mW	50V
20	kΩ	GPR040220K	1	62.5mW	50V
22	kΩ	GPR040222K	1	62.5mW	50V
24	kΩ	GPR040224K	1	62.5mW	50V
27	kΩ	GPR040227K	1	62.5mW	50V
30	kΩ	GPR040230K	1	62.5mW	50V
33	kΩ	GPR040233K	1	62.5mW	50V
36	kΩ	GPR040236K	1	62.5mW	50V
39	kΩ	GPR040239K	1	62.5mW	50V
43	kΩ	GPR040243K	1	62.5mW	50V
47	kΩ	GPR040247K	1	62.5mW	50V
51	kΩ	GPR040251K	1	62.5mW	50V
56	kΩ	GPR040256K	1	62.5mW	50V
62	kΩ	GPR040262K	1	62.5mW	50V
68	kΩ	GPR040268K	1	62.5mW	50V
75	kΩ	GPR040275K	1	62.5mW	50V
82	kΩ	GPR040282K	1	62.5mW	50V
91	kΩ	GPR040291K	1	62.5mW	50V
100	kΩ	GPR0402100K	1	62.5mW	50V
110	kΩ	GPR0402110K	1	62.5mW	50V
120	kΩ	GPR0402120K	1	62.5mW	50V
130	kΩ	GPR0402130K	1	62.5mW	50V
150	kΩ	GPR0402150K	1	62.5mW	50V
160	kΩ	GPR0402160K	1	62.5mW	50V
180	kΩ	GPR0402180K	1	62.5mW	50V
200	kΩ	GPR0402200K	1	62.5mW	50V
220	kΩ	GPR0402220K	1	62.5mW	50V
240	kΩ	GPR0402240K	1	62.5mW	50V
270	kΩ	GPR0402270K	1	62.5mW	50V
300	kΩ	GPR0402300K	1	62.5mW	50V
330	kΩ	GPR0402330K	1	62.5mW	50V
360	kΩ	GPR0402360K	1	62.5mW	50V
390	kΩ	GPR0402390K	1	62.5mW	50V
430	kΩ	GPR0402430K	1	62.5mW	50V
470	kΩ	GPR0402470K	1	62.5mW	50V
510	kΩ	GPR0402510K	1	62.5mW	50V
560	kΩ	GPR0402560K	1	62.5mW	50V
620	kΩ	GPR0402620K	1	62.5mW	50V
680	kΩ	GPR0402680K	1	62.5mW	50V
750	kΩ	GPR0402750K	1	62.5mW	50V
820	kΩ	GPR0402820K	1	62.5mW	50V
910	kΩ	GPR0402910K	1	62.5mW	50V
1	MΩ	GPR04021M	1	62.5mW	50V
1.1	MΩ	GPR04021M1	1	62.5mW	50V
1.2	MΩ	GPR04021M2	1	62.5mW	50V
1.3	MΩ	GPR04021M3	1	62.5mW	50V
1.5	MΩ	GPR04021M5	1	62.5mW	50V
1.6	MΩ	GPR04021M6	1	62.5mW	50V
1.8	MΩ	GPR04021M8	1	62.5mW	50V
2	MΩ	GPR04022M	1	62.5mW	50V
2.2	MΩ	GPR04022M2	1	62.5mW	50V
2.4	MΩ	GPR04022M4	1	62.5mW	50V
2.7	MΩ	GPR04022M7	1	62.5mW	50V
3	MΩ	GPR04023M	1	62.5mW	50V
3.3	MΩ	GPR04023M3	1	62.5mW	50V
3.6	MΩ	GPR04023M6	1	62.5mW	50V
3.9	MΩ	GPR04023M9	1	62.5mW	50V
4.3	MΩ	GPR04024M3	1	62.5mW	50V
4.7	MΩ	GPR04024M7	1	62.5mW	50V
5.1	MΩ	GPR04025M1	1	62.5mW	50V
5.6	MΩ	GPR04025M6	1	62.5mW	50V
6.2	MΩ	GPR04026M2	1	62.5mW	50V
6.8	MΩ	GPR04026M8	1	62.5mW	50V
7.5	MΩ	GPR04027M5	1	62.5mW	50V
8.2	MΩ	GPR04028M2	1	62.5mW	50V
9.1	MΩ	GPR04029M1	1	62.5mW	50V
10	MΩ	GPR040210M	1	62.5mW	50V
