Values	Capacitance	GPN	Tol. (%)	Voltage	Dielectric	Description
100	nF	GPC1206104	10	50V	X7R	0.1µF ±10% 50V Ceramic Capacitor X7R 1206 (3216 Metric)
100	nF	GPC1206104-25	10	25V	X7R	0.1µF ±10% 25V Ceramic Capacitor X7R 1206 (3216 Metric)
680	nF	GPC1206684	10	50V	X7R	0.68µF ±10% 50V Ceramic Capacitor X7R 1206 (3216 Metric)
1	uF	GPC1206105-16	10	16V	X7R	1µF ±10% 16V Ceramic Capacitor X7R 1206 (3216 Metric)
1	uF	GPC1206105-25	10	25V	X7R	1µF ±10% 25V Ceramic Capacitor X7R 1206 (3216 Metric)
4,7	uF	GPC1206475-25	10	25V	X7R	4.7µF ±10% 25V Ceramic Capacitor X7R 1206 (3216 Metric)
10	uF	GPC1206106	10	50V	X5R	10µF ±10% 50V Ceramic Capacitor X5R 1206 (3216 Metric)
10	uF	GPC1206106-25	10	25V	X5R	10µF ±10% 25V Ceramic Capacitor X5R 1206 (3216 Metric)
