Values	Resistance	GPN	Tol. (%)	Power	Voltage
0	Ω	GPR12060R	5	250mW	200V
1	Ω	GPR12061R	1	250mW	200V
1,1	Ω	GPR12061R1	1	250mW	200V
1.2	Ω	GPR12061R2	1	250mW	200V
1.3	Ω	GPR12061R3	1	250mW	200V
1.5	Ω	GPR12061R5	1	250mW	200V
1.6	Ω	GPR12061R6	1	250mW	200V
1.8	Ω	GPR12061R8	1	250mW	200V
2	Ω	GPR12062R	1	250mW	200V
2.2	Ω	GPR12062R2	1	250mW	200V
2.4	Ω	GPR12062R4	1	250mW	200V
2.7	Ω	GPR12062R7	1	250mW	200V
3	Ω	GPR12063R	1	250mW	200V
3.3	Ω	GPR12063R3	1	250mW	200V
3.6	Ω	GPR12063R6	1	250mW	200V
3.9	Ω	GPR12063R9	1	250mW	200V
4.3	Ω	GPR12064R3	1	250mW	200V
4.7	Ω	GPR12064R7	1	250mW	200V
5.1	Ω	GPR12065R1	1	125mW	200V
5.6	Ω	GPR12065R6	1	250mW	200V
6.2	Ω	GPR12066R2	1	250mW	200V
6.8	Ω	GPR12066R8	1	250mW	200V
7.5	Ω	GPR12067R5	1	250mW	200V
8.2	Ω	GPR12068R2	1	250mW	200V
9.1	Ω	GPR12069R1	1	250mW	200V
10	Ω	GPR120610R	1	250mW	200V
11	Ω	GPR120611R	1	250mW	200V
12	Ω	GPR120612R	1	250mW	200V
13	Ω	GPR120613R	1	250mW	200V
15	Ω	GPR120615R	1	250mW	200V
16	Ω	GPR120616R	1	250mW	200V
18	Ω	GPR120618R	1	250mW	200V
20	Ω	GPR120620R	1	250mW	200V
22	Ω	GPR120622R	1	250mW	200V
24	Ω	GPR120624R	1	250mW	200V
27	Ω	GPR120627R	1	250mW	200V
30	Ω	GPR120630R	1	250mW	200V
33	Ω	GPR120633R	1	250mW	200V
36	Ω	GPR120636R	1	250mW	200V
39	Ω	GPR120639R	1	250mW	200V
43	Ω	GPR120643R	1	250mW	200V
47	Ω	GPR120647R	1	250mW	200V
51	Ω	GPR120651R	1	250mW	200V
56	Ω	GPR120656R	1	250mW	200V
62	Ω	GPR120662R	1	250mW	200V
68	Ω	GPR120668R	1	250mW	200V
75	Ω	GPR120675R	1	250mW	200V
82	Ω	GPR120682R	1	250mW	200V
91	Ω	GPR120691R	1	250mW	200V
100	Ω	GPR1206100R	1	250mW	200V
110	Ω	GPR1206110R	1	250mW	200V
120	Ω	GPR1206120R	1	250mW	200V
130	Ω	GPR1206130R	1	250mW	200V
150	Ω	GPR1206150R	1	250mW	200V
160	Ω	GPR1206160R	1	250mW	200V
180	Ω	GPR1206180R	1	250mW	200V
200	Ω	GPR1206200R	1	250mW	200V
220	Ω	GPR1206220R	1	250mW	200V
240	Ω	GPR1206240R	1	250mW	200V
270	Ω	GPR1206270R	1	250mW	200V
300	Ω	GPR1206300R	1	250mW	200V
330	Ω	GPR1206330R	1	250mW	200V
360	Ω	GPR1206360R	1	250mW	200V
390	Ω	GPR1206390R	1	250mW	200V
430	Ω	GPR1206430R	1	250mW	200V
470	Ω	GPR1206470R	1	250mW	200V
510	Ω	GPR1206510R	1	250mW	200V
560	Ω	GPR1206560R	1	250mW	200V
620	Ω	GPR1206620R	1	250mW	200V
680	Ω	GPR1206680R	1	250mW	200V
750	Ω	GPR1206750R	1	250mW	200V
820	Ω	GPR1206820R	1	250mW	200V
910	Ω	GPR1206910R	1	250mW	200V
1	kΩ	GPR12061K	1	250mW	200V
1.1	kΩ	GPR12061K1	1	250mW	200V
1.2	kΩ	GPR12061K2	1	250mW	200V
1.3	kΩ	GPR12061K3	1	250mW	200V
1.5	kΩ	GPR12061K5	1	250mW	200V
1.6	kΩ	GPR12061K6	1	250mW	200V
1.8	kΩ	GPR12061K8	1	250mW	200V
2	kΩ	GPR12062K	1	250mW	200V
2.2	kΩ	GPR12062K2	1	250mW	200V
2.4	kΩ	GPR12062K4	1	250mW	200V
2.7	kΩ	GPR12062K7	1	250mW	200V
3	kΩ	GPR12063K	1	250mW	200V
3.3	kΩ	GPR12063K3	1	250mW	200V
3.6	kΩ	GPR12063K6	1	250mW	200V
3.9	kΩ	GPR12063K9	1	250mW	200V
4.3	kΩ	GPR12064K3	1	250mW	200V
4.7	kΩ	GPR12064K7	1	250mW	200V
5.1	kΩ	GPR12065K1	1	250mW	200V
5.6	kΩ	GPR12065K6	1	250mW	200V
6.2	kΩ	GPR12066K2	1	250mW	200V
6.8	kΩ	GPR12066K8	1	250mW	200V
7.5	kΩ	GPR12067K5	1	250mW	200V
8.2	kΩ	GPR12068K2	1	250mW	200V
9.1	kΩ	GPR12069K1	1	250mW	200V
10	kΩ	GPR120610K	1	250mW	200V
11	kΩ	GPR120611K	1	250mW	200V
12	kΩ	GPR120612K	1	250mW	200V
13	kΩ	GPR120613K	1	250mW	200V
15	kΩ	GPR120615K	1	250mW	200V
16	kΩ	GPR120616K	1	250mW	200V
18	kΩ	GPR120618K	1	250mW	200V
20	kΩ	GPR120620K	1	250mW	200V
22	kΩ	GPR120622K	1	250mW	200V
24	kΩ	GPR120624K	1	250mW	200V
27	kΩ	GPR120627K	1	250mW	200V
30	kΩ	GPR120630K	1	250mW	200V
33	kΩ	GPR120633K	1	250mW	200V
36	kΩ	GPR120636K	1	250mW	200V
39	kΩ	GPR120639K	1	250mW	200V
43	kΩ	GPR120643K	1	250mW	200V
47	kΩ	GPR120647K	1	250mW	200V
51	kΩ	GPR120651K	1	250mW	200V
56	kΩ	GPR120656K	1	250mW	200V
62	kΩ	GPR120662K	1	250mW	200V
68	kΩ	GPR120668K	1	250mW	200V
75	kΩ	GPR120675K	1	250mW	200V
82	kΩ	GPR120682K	1	250mW	200V
91	kΩ	GPR120691K	1	250mW	200V
100	kΩ	GPR1206100K	1	250mW	200V
110	kΩ	GPR1206110K	1	250mW	200V
120	kΩ	GPR1206120K	1	250mW	200V
130	kΩ	GPR1206130K	1	250mW	200V
150	kΩ	GPR1206150K	1	250mW	200V
160	kΩ	GPR1206160K	1	250mW	200V
180	kΩ	GPR1206180K	1	250mW	200V
200	kΩ	GPR1206200K	1	250mW	200V
220	kΩ	GPR1206220K	1	250mW	200V
240	kΩ	GPR1206240K	1	250mW	200V
270	kΩ	GPR1206270K	1	250mW	200V
300	kΩ	GPR1206300K	1	250mW	200V
330	kΩ	GPR1206330K	1	250mW	200V
360	kΩ	GPR1206360K	1	250mW	200V
390	kΩ	GPR1206390K	1	250mW	200V
430	kΩ	GPR1206430K	1	250mW	200V
470	kΩ	GPR1206470K	1	250mW	200V
510	kΩ	GPR1206510K	1	250mW	200V
560	kΩ	GPR1206560K	1	250mW	200V
620	kΩ	GPR1206620K	1	250mW	200V
680	kΩ	GPR1206680K	1	250mW	200V
750	kΩ	GPR1206750K	1	250mW	200V
820	kΩ	GPR1206820K	1	250mW	200V
910	kΩ	GPR1206910K	1	250mW	200V
1	MΩ	GPR12061M	1	250mW	200V
1.1	MΩ	GPR12061M1	1	250mW	200V
1.2	MΩ	GPR12061M2	1	250mW	200V
1.3	MΩ	GPR12061M3	1	250mW	200V
1.5	MΩ	GPR12061M5	1	250mW	200V
1.6	MΩ	GPR12061M6	1	250mW	200V
1.8	MΩ	GPR12061M8	1	250mW	200V
2	MΩ	GPR12062M	1	250mW	200V
2.2	MΩ	GPR12062M2	1	250mW	200V
2.7	MΩ	GPR12062M7	1	250mW	200V
3	MΩ	GPR12063M	1	250mW	200V
3.3	MΩ	GPR12063M3	1	250mW	200V
3.9	MΩ	GPR12063M9	1	250mW	200V
4.3	MΩ	GPR12064M3	1	250mW	200V
4.7	MΩ	GPR12064M7	1	250mW	200V
5.1	MΩ	GPR12065M1	1	250mW	200V
5.6	MΩ	GPR12065M6	1	250mW	200V
6.2	MΩ	GPR12066M2	1	250mW	200V
6.8	MΩ	GPR12066M8	1	250mW	200V
7.5	MΩ	GPR12067M5	1	250mW	200V
8.2	MΩ	GPR12068M2	1	250mW	200V
