Values	Resistance	GPN	Tol. (%)	Power	Voltage
0	Ω	GPR08050R	Jumper	125mW	
1	Ω	GPR08051R	1	125mW	150V
1.1	Ω	GPR08051R1	1	125mW	150V
1.2	Ω	GPR08051R2	1	125mW	150V
1.3	Ω	GPR08051R3	1	125mW	150V
1.5	Ω	GPR08051R5	1	125mW	150V
1.5	Ω	GPR08051R5	1	125mW	150V
1.6	Ω	GPR08051R6	1	125mW	150V
1.8	Ω	GPR08051R8	1	125mW	150V
2	Ω	GPR08052R	1	125mW	150V
2.2	Ω	GPR08052R2	1	125mW	150V
2.4	Ω	GPR08052R4	1	125mW	150V
2.7	Ω	GPR08052R7	1	125mW	150V
3	Ω	GPR08053R	1	125mW	150V
3.3	Ω	GPR08053R3	1	125mW	150V
3.6	Ω	GPR08053R6	1	125mW	150V
3.9	Ω	GPR08053R9	1	125mW	150V
4.3	Ω	GPR08054R3	1	125mW	150V
4.7	Ω	GPR08054R7	1	125mW	150V
5.1	Ω	GPR08055R1	1	125mW	150V
5.6	Ω	GPR08055R6	1	125mW	150V
6.2	Ω	GPR08056R2	1	125mW	150V
6.8	Ω	GPR08056R8	1	125mW	150V
8.2	Ω	GPR08058R2	1	125mW	150V
10	Ω	GPR080510R	1	125mW	150V
11	Ω	GPR080511R	1	125mW	150V
12	Ω	GPR080512R	1	125mW	150V
13	Ω	GPR080513R	1	125mW	150V
15	Ω	GPR080515R	1	125mW	150V
16	Ω	GPR080516R	1	125mW	150V
18	Ω	GPR080518R	1	125mW	150V
20	Ω	GPR080520R	1	125mW	150V
22	Ω	GPR080522R	1	125mW	150V
24	Ω	GPR080524R	1	125mW	150V
27	Ω	GPR080527R	1	125mW	150V
30	Ω	GPR080530R	1	125mW	150V
33	Ω	GPR080533R	1	125mW	150V
36	Ω	GPR080536R	1	125mW	150V
39	Ω	GPR080539R	1	125mW	150V
43	Ω	GPR080543R	1	125mW	150V
47	Ω	GPR080547R	1	125mW	150V
51	Ω	GPR080551R	1	125mW	150V
56	Ω	GPR080556R	1	125mW	150V
62	Ω	GPR080562R	1	125mW	150V
68	Ω	GPR080568R	1	125mW	150V
75	Ω	GPR080575R	1	125mW	150V
82	Ω	GPR080582R	1	125mW	150V
91	Ω	GPR080591R	1	125mW	150V
100	Ω	GPR0805100R	1	125mW	150V
110	Ω	GPR0805110R	1	125mW	150V
120	Ω	GPR0805120R	1	125mW	150V
130	Ω	GPR0805130R	1	125mW	150V
150	Ω	GPR0805150R	1	125mW	150V
160	Ω	GPR0805160R	1	125mW	150V
180	Ω	GPR0805180R	1	125mW	150V
200	Ω	GPR0805200R	1	125mW	150V
220	Ω	GPR0805220R	1	125mW	150V
240	Ω	GPR0805240R	1	125mW	150V
270	Ω	GPR0805270R	1	125mW	150V
300	Ω	GPR0805300R	1	125mW	150V
330	Ω	GPR0805330R	1	125mW	150V
360	Ω	GPR0805360R	1	125mW	150V
390	Ω	GPR0805390R	1	125mW	150V
430	Ω	GPR0805430R	1	125mW	150V
470	Ω	GPR0805470R	1	125mW	150V
510	Ω	GPR0805510R	1	125mW	150V
560	Ω	GPR0805560R	1	125mW	150V
620	Ω	GPR0805620R	1	125mW	150V
680	Ω	GPR0805680R	1	125mW	150V
750	Ω	GPR0805750R	1	125mW	150V
820	Ω	GPR0805820R	1	125mW	150V
910	Ω	GPR0805910R	1	125mW	150V
1	kΩ	GPR08051K	1	125mW	150V
1.1	kΩ	GPR08051K1	1	125mW	150V
1.2	kΩ	GPR08051K2	1	125mW	150V
1.3	kΩ	GPR08051K3	1	125mW	150V
1.5	kΩ	GPR08051K5	1	125mW	150V
1.6	kΩ	GPR08051K6	1	125mW	150V
1.8	kΩ	GPR08051K8	1	125mW	150V
2	kΩ	GPR08052K	1	125mW	150V
2.2	kΩ	GPR08052K2	1	125mW	150V
2.4	kΩ	GPR08052K4	1	125mW	150V
2.7	kΩ	GPR08052K7	1	125mW	150V
