Values	Resistance	GPN	Tol. (%)	Power	Voltage
3	kΩ	GPR08053K	1	125mW	150V
3.3	kΩ	GPR08053K3	1	125mW	150V
3.6	kΩ	GPR08053K6	1	125mW	150V
3.9	kΩ	GPR08053K9	1	125mW	150V
4.3	kΩ	GPR08054K3	1	125mW	150V
4.7	kΩ	GPR08054K7	1	125mW	150V
5.1	kΩ	GPR08055K1	1	125mW	150V
5.6	kΩ	GPR08055K6	1	125mW	150V
6.2	kΩ	GPR08056K2	1	125mW	150V
6.8	kΩ	GPR08056K8	1	125mW	150V
7.5	kΩ	GPR08057K5	1	125mW	150V
8.2	kΩ	GPR08058K2	1	125mW	150V
9.1	kΩ	GPR08059K1	1	125mW	150V
10	kΩ	GPR080510K	1	125mW	150V
11	kΩ	GPR080511K	1	125mW	150V
12	kΩ	GPR080512K	1	125mW	150V
13	kΩ	GPR080513K	1	125mW	150V
15	kΩ	GPR080515K	1	125mW	150V
16	kΩ	GPR080516K	1	125mW	150V
18	kΩ	GPR080518K	1	125mW	150V
20	kΩ	GPR080520K	1	125mW	150V
22	kΩ	GPR080522K	1	125mW	150V
24	kΩ	GPR080524K	1	125mW	150V
27	kΩ	GPR080527K	1	125mW	150V
30	kΩ	GPR080530K	1	125mW	150V
33	kΩ	GPR080533K	1	125mW	150V
36	kΩ	GPR080536K	1	125mW	150V
39	kΩ	GPR080539K	1	125mW	150V
43	kΩ	GPR080543K	1	125mW	150V
47	kΩ	GPR080547K	1	125mW	150V
51	kΩ	GPR080551K	1	125mW	150V
56	kΩ	GPR080556K	1	125mW	150V
62	kΩ	GPR080562K	1	125mW	150V
68	kΩ	GPR080568K	1	125mW	150V
75	kΩ	GPR080575K	1	125mW	150V
82	kΩ	GPR080582K	1	125mW	150V
91	kΩ	GPR080591K	1	125mW	150V
100	kΩ	GPR0805100K	1	125mW	150V
110	kΩ	GPR0805110K	1	125mW	150V
120	kΩ	GPR0805120K	1	125mW	150V
130	kΩ	GPR0805130K	1	125mW	150V
150	kΩ	GPR0805150K	1	125mW	150V
160	kΩ	GPR0805160K	1	125mW	150V
180	kΩ	GPR0805180K	1	125mW	150V
200	kΩ	GPR0805200K	1	125mW	150V
220	kΩ	GPR0805220K	1	125mW	150V
240	kΩ	GPR0805240K	1	125mW	150V
270	kΩ	GPR0805270K	1	125mW	150V
300	kΩ	GPR0805300K	1	125mW	150V
330	kΩ	GPR0805330K	1	125mW	150V
360	kΩ	GPR0805360K	1	125mW	150V
390	kΩ	GPR0805390K	1	125mW	150V
430	kΩ	GPR0805430K	1	125mW	150V
470	kΩ	GPR0805470K	1	125mW	150V
510	kΩ	GPR0805510K	1	125mW	150V
560	kΩ	GPR0805560K	1	125mW	150V
620	kΩ	GPR0805620K	1	125mW	150V
680	kΩ	GPR0805680K	1	125mW	150V
750	kΩ	GPR0805750K	1	125mW	150V
820	kΩ	GPR0805820K	1	125mW	150V
910	kΩ	GPR0805910K	1	125mW	150V
1	MΩ	GPR08051M	1	125mW	150V
1.1	MΩ	GPR08051M1	1	125mW	150V
1.2	MΩ	GPR08051M2	1	125mW	150V
1.3	MΩ	GPR08051M3	1	125mW	150V
1.5	MΩ	GPR08051M5	1	125mW	150V
1.6	MΩ	GPR08051M6	1	125mW	150V
1.8	MΩ	GPR08051M8	1	125mW	150V
2	MΩ	GPR08052M	1	125mW	150V
2.2	MΩ	GPR08052M2	1	125mW	150V
2.4	MΩ	GPR08052M4	1	125mW	150V
2.7	MΩ	GPR08052M7	1	125mW	150V
3	MΩ	GPR08053M	1	125mW	150V
3.3	MΩ	GPR08053M3	1	125mW	150V
3.6	MΩ	GPR08053M6	1	125mW	150V
3.9	MΩ	GPR08053M9	1	125mW	150V
4.7	MΩ	GPR08054M7	1	125mW	150V
5.1	MΩ	GPR08055M1	1	125mW	150V
5.6	MΩ	GPR08055M6	1	125mW	150V
6.2	MΩ	GPR08056M2	1	125mW	150V
6.8	MΩ	GPR08056M8	1	125mW	150V
7.5	MΩ	GPR08057M5	1	125mW	150V
8.2	MΩ	GPR08058M2	1	125mW	150V
