Values	Capacitance	GPN	Tol. (%)	Voltage	Dielectric	Description
10	NF	GPC0603103	10	50V	X7R	10000pF ±10% 50V Ceramic Capacitor X7R 0603 (1608 Metric)
15	nF	GPC0603153	10	50V	X7R	0.015µF ±10% 50V Ceramic Capacitor X7R 0603 (1608 Metric)
22	nF	GPC0603223	10	50V	X7R	0.022µF ±10% 50V Ceramic Capacitor X7R 0603 (1608 Metric)
33	nF	GPC0603333	10	50V	X7R	0.033µF ±10% 50V Ceramic Capacitor X7R 0603 (1608 Metric)
47	nF	GPC0603473	10	50V	X7R	0.047µF ±10% 50V Ceramic Capacitor X7R 0603 (1608 Metric)
68	nF	GPC0603683	10	50V	X7R	0.068µF ±10% 50V Ceramic Capacitor X7R 0603 (1608 Metric)
100	nF	GPC0603104	10	50V	X7R	0.1µF ±10% 50V Ceramic Capacitor X7R 0603 (1608 Metric)
100	nF	GPC0603104-25	10	25	X7R	0.1µF ±10% 25V Ceramic Capacitor X7R 0603 (1608 Metric)
150	nF	GPC0603154	10	50V	X7R	0.15µF ±10% 50V Ceramic Capacitor X7R 0603 (1608 Metric)
220	nF	GPC0603224	10	50V	X7R	0.22µF ±10% 50V Ceramic Capacitor X7R 0603 (1608 Metric)
330	nF	GPC0603334	10	50V	X7R	0.33µF ±10% 50V Ceramic Capacitor X7R 0603 (1608 Metric)
470	nF	GPC0603474	10	50V	X7R	0.47µF ±10% 50V Ceramic Capacitor X7R 0603 (1608 Metric)
470	nF	GPC0603474-25	10	25V	X7R	0.47µF ±10% 25V Ceramic Capacitor X7R 0603 (1608 Metric)
1	uF	GPC0603105	10	50V	X5R	1µF ±10% 50V Ceramic Capacitor X5R 0603 (1608 Metric)
1	uF	GPC0603105-16	10	16V	X5R	1µF ±10% 16V Ceramic Capacitor X5R 0603 (1608 Metric)
1	UF	GPC0603105-25	20	25V	X5R	1µF ±20% 25V Ceramic Capacitor X5R 0603 (1608 Metric)
2.2	uF	GPC0603225-10	20	10V	X5R	2.2µF ±20% 10V Ceramic Capacitor X5R 0603 (1608 Metric)
4,7	uF	GPC0603475-10	10	10V	X5R	4.7µF ±10% 10V Ceramic Capacitor X5R 0603 (1608 Metric)
10	uF	GPC0603106-10	10	10V	X5R	10µF ±10% 10V Ceramic Capacitor X5R 0603 (1608 Metric)
