Values	Capacitance	GPN	Tol. (%)	Voltage	Dielectric	Description
47	nF	GPC0805473	10	50V	X7R	0.047µF ±10% 50V Ceramic Capacitor X7R 0805 (2012 Metric)
68	nF	GPC0805683	10	50V	X7R	0.068µF ±10% 50V Ceramic Capacitor X7R 0805 (2012 Metric)
100	NF	GPC0805104	10	50V	X7R	0.1µF ±10% 50V Ceramic Capacitor X7R 0805 (2012 Metric)
100	NF	GPC0805104-25	10	25V	X7R	0.1µF ±10% 25V Ceramic Capacitor X7R 0805 (2012 Metric)
150	nF	GPC0805154	10	50V	X7R	0.15µF ±10% 50V Ceramic Capacitor X7R 0805 (2012 Metric)
220	nF	GPC0805224	10	50V	X7R	0.22µF ±10% 50V Ceramic Capacitor X7R 0805 (2012 Metric)
330	nF	GPC0805334	10	50V	X7R	0.33µF ±10% 50V Ceramic Capacitor X7R 0805 (2012 Metric)
470	nF	GPC0805474	10	50V	X7R	0.47µF ±10% 50V Ceramic Capacitor X7R 0805 (2012 Metric)
680	nF	GPC0805684	10	50V	X7R	0.68µF ±10% 50V Ceramic Capacitor X7R 0805 (2012 Metric)
1	uF	GPC0805105	10	50V	X7R	1µF ±10% 50V Ceramic Capacitor X7R 0805 (2012 Metric)
1	uF	GPC0805105-25	10	25V	X5R	1µF ±10% 25V Ceramic Capacitor X5R 0805 (2012 Metric)
1	uF	GPC0805105-25	10	25V	X7R	1µF ±10% 25V Ceramic Capacitor X7R 0805 (2012 Metric)
2.2	uF	GPC0805225-25	10	25V	X5R	2.2µF ±10% 25V Ceramic Capacitor X5R 0805 (2012 Metric)
3.3	uF	GPC0805335-10	10	10V	X5R	3.3µF ±10% 10V Ceramic Capacitor X5R 0805 (2012 Metric)
4,7	uF	GPC0805475-25	10	25V	X5R	4.7µF ±10% 25V Ceramic Capacitor X5R 0805 (2012 Metric)
4.70	uF	GPC0805475-10	20	10V	X5R	4.7µF ±20% 10V Ceramic Capacitor X5R 0805 (2012 Metric)
10	uF	GPC0805106-16	10	16V	X5R	10µF ±10% 16V Ceramic Capacitor X5R 0805 (2012 Metric)
10	uF	GPC0805106-25	10	25V	X5R	10µF ±10% 25V Ceramic Capacitor X5R 0805 (2012 Metric)
10	uF	GPC0805106-35	10	35V	X6S	10µF ±10% 35V Ceramic Capacitor X6S 0805 (2012 Metric)
